Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,10447.05957,10523.790039,9880.419922,10143.419922,3922935900,10143.419922
2015-11-02,10474.580078,10641.620117,10141.549805,10409.589844,4007931000,10409.589844
2015-10-01,9832.330078,10538.219727,9697.269531,10460.959961,4095504500,10460.959961
2015-09-01,10176.50,10362.259766,9565.240234,9799.69043,4024497100,9799.69043
2015-08-03,10883.469727,10916.219727,9509.589844,10176.50,4216280400,10176.50
2015-07-01,10844.459961,11032.610352,10622.320312,10882.280273,3709178600,10882.280273
2015-06-01,11081.669922,11170.820312,10768.620117,10805.200195,3512325400,10805.200195
2015-05-01,11074.950195,11254.870117,10961.179688,11056.299805,3298780000,11056.299805
2015-04-01,10906.129883,11248.990234,10834.019531,11049.740234,3646220000,11049.740234
2015-03-02,11053.660156,11115.580078,10659.030273,10899.19043,3638745400,10899.19043
2015-02-02,10567.959961,11142.55957,10495.709961,11062.790039,3806470500,11062.790039
2015-01-02,10859.799805,10889.25,10442.799805,10537.219727,4094934500,10537.219727
2014-12-01,10933.110352,11008.540039,10360.030273,10839.240234,3788631300,10839.240234
2014-11-03,10834.400391,11068.269531,10704.55957,10955.410156,3479201500,10955.410156
2014-10-01,10688.650391,10846.089844,9886.080078,10845.00,4260310800,10845.00
2014-09-02,11050.570312,11108.389648,10685.00,10702.929688,3364624700,10702.929688
2014-08-01,10699.80957,11054.19043,10557.610352,11046.290039,2875718500,11046.290039
2014-07-01,11002.370117,11105.849609,10726.379883,10726.429688,3214440400,10726.429688
2014-06-02,10760.540039,11025.919922,10729.969727,10979.419922,3158130000,10979.419922
2014-05-01,10626.509766,10760.870117,10518.950195,10756.30957,3185100900,10756.30957
2014-04-01,10538.44043,10669.429688,10271.360352,10627.169922,3589287600,10627.169922
2014-03-03,10349.299805,10550.240234,10272.089844,10527.769531,3579015700,10527.769531
2014-02-03,9967.69043,10471.629883,9732.469727,10425.860352,3875949400,10425.860352
2014-01-02,10352.709961,11334.650391,9908.030273,9967.650391,3806266600,9967.650391
2013-12-02,10173.769531,10406.769531,9925.620117,10400.320312,3203412300,10400.320312
2013-11-01,10010.269531,10229.570312,9909.540039,10183.230469,3261324500,10183.230469
2013-10-01,9624.179688,10127.629883,9441.660156,10009.639648,3498866500,10009.639648
2013-09-03,9357.80957,9906.320312,9296.269531,9621.240234,3474152000,9621.240234
2013-08-01,9617.290039,9690.099609,9246.889648,9270.660156,3069868600,9270.660156
2013-07-01,9154.259766,9682.110352,9074.589844,9558.830078,3270645900,9558.830078
2013-06-03,9317.389648,9412.049805,8814.759766,9112.69043,3996199000,9112.69043
2013-05-01,9248.450195,9695.459961,9169.780273,9302.269531,3661220400,9302.269531
2013-04-01,9098.05957,9276.879883,8890.450195,9276.879883,3674685000,9276.879883
2013-03-01,8827.830078,9128.889648,8779.839844,9107.040039,3591577500,9107.040039
2013-02-01,8931.459961,9004.410156,8700.730469,8868.719727,3851884200,8868.719727
2013-01-02,8571.530273,8944.290039,8571.080078,8894.709961,3802304200,8894.709961
2012-12-03,8260.429688,8519.139648,8205.330078,8443.509766,3479625500,8443.509766
2012-11-01,8231.669922,8339.780273,7841.759766,8260.429688,3593110000,8260.429688
2012-10-01,8276.089844,8470.69043,8152.790039,8221.400391,3587115700,8221.400391
2012-09-04,8012.870117,8515.599609,7960.870117,8251.00,3857553100,8251.00
2012-08-01,7891.339844,8160.419922,7710.830078,8014.930176,3183567800,8014.930176
2012-07-02,7810.830078,7939.149902,7538.240234,7863.930176,3663113300,7863.930176
2012-06-01,7368.410156,7801.839844,7222.879883,7801.839844,3881122300,7801.839844
2012-05-01,8115.060059,8211.650391,7387.450195,7463.959961,4158095900,7463.959961
2012-04-02,8206.94043,8305.69043,7835.290039,8119.060059,3916786000,8119.060059
2012-03-01,8136.129883,8327.669922,7898.609863,8206.929688,3980752200,8206.929688
2012-02-01,7838.47998,8210.259766,7838.47998,8113.240234,4143404000,8113.240234
2012-01-03,7477.029785,7929.759766,7459.450195,7838.47998,4190155500,7838.47998
2011-12-01,7484.50,7596.109863,7129.839844,7477.029785,3525593800,7477.029785
2011-11-01,7565.029785,7681.220215,6898.120117,7484.50,4289379000,7484.50
2011-10-03,6791.649902,7864.490234,6414.890137,7563.379883,4874946600,7563.379883
2011-09-01,7528.390137,7584.72998,6641.299805,6791.649902,5104933800,6791.649902
2011-08-01,8124.029785,8172.339844,6891.040039,7528.390137,4942913400,7528.390137
2011-07-01,8319.099609,8496.419922,8011.450195,8079.439941,4308168000,8079.439941
2011-06-01,8477.280273,8477.280273,7901.080078,8319.099609,4105601300,8319.099609
2011-05-02,8671.410156,8718.25,8208.669922,8477.280273,4114534200,8477.280273
2011-04-01,8404.980469,8678.099609,8205.790039,8671.410156,4042194000,8671.410156
2011-03-01,8438.549805,8470.349609,7873.299805,8404.980469,4046691700,8404.980469
2011-02-01,8139.200195,8520.269531,8139.200195,8438.549805,3182974200,8438.549805
2011-01-03,7964.040039,8222.509766,7909.339844,8139.160156,4816605000,8139.160156
