Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,24.790001,25.440001,21.48,23.959999,816000,23.959999
2015-11-02,22.790001,25.40,22.379999,24.76,722800,24.76
2015-10-01,18.26,23.719999,18.030001,22.799999,1066600,22.799999
2015-09-01,21.049999,21.27,17.02,18.389999,937600,18.389999
2015-08-03,23.040001,23.639999,19.299999,21.440001,778900,21.392462
2015-07-01,23.219999,23.42,21.92,23.059999,827400,23.008869
2015-06-01,23.559999,24.48,22.50,23.09,684300,23.038803
2015-05-01,23.91,25.50,23.48,23.50,562800,23.447893
2015-04-01,23.690001,24.92,23.559999,23.82,520400,23.767183
2015-03-02,25.35,25.780001,23.610001,23.74,783500,23.687361
2015-02-02,23.17,25.90,23.08,25.440001,624700,25.383593
2015-01-02,27.35,27.41,22.549999,23.110001,979600,23.05876
2014-12-01,29.370001,29.43,26.389999,27.24,1064500,27.179602
2014-11-03,31.68,32.360001,29.33,29.360001,472700,29.294901
2014-10-01,30.41,31.870001,28.530001,31.690001,809600,31.619734
2014-09-02,33.82,34.060001,30.48,30.52,679300,30.452328
2014-08-01,32.209999,34.50,31.74,33.73,406100,33.613506
2014-07-01,34.630001,34.950001,32.23,32.279999,534800,32.16851
2014-06-02,35.509998,36.740002,33.540001,34.57,632000,34.450603
2014-05-01,33.82,35.860001,33.32,35.529999,576100,35.407288
2014-04-01,34.25,35.700001,33.080002,33.860001,727000,33.743057
2014-03-03,34.689999,35.110001,32.369999,34.150002,849400,34.032055
2014-02-03,34.139999,35.43,32.220001,35.060001,728700,34.938915
2014-01-02,36.619999,37.290001,34.00,34.220001,787500,34.101814
2013-12-02,38.98,39.09,35.759998,36.639999,536900,36.513454
2013-11-01,37.619999,39.27,37.279999,39.080002,486800,38.94503
2013-10-01,39.650002,39.84,36.779999,37.560001,582700,37.430279
2013-09-03,36.23,39.73,35.310001,38.84,536000,38.705856
2013-08-01,35.59,37.220001,35.330002,35.720001,347400,35.559898
2013-07-01,33.130001,35.700001,32.990002,35.310001,523000,35.151737
2013-06-03,33.990002,34.009998,31.18,32.970001,690800,32.822224
2013-05-01,31.120001,34.610001,30.26,34.00,461800,33.847607
2013-04-01,30.620001,31.299999,29.16,31.299999,746600,31.159708
2013-03-01,30.190001,32.110001,29.700001,30.620001,495100,30.482758
2013-02-01,29.73,31.77,29.280001,30.41,433500,30.273697
2013-01-02,28.75,30.52,27.99,29.48,520500,29.347866
2012-12-03,28.99,29.82,26.200001,27.91,644900,27.784903
2012-11-01,28.379999,29.08,25.379999,28.77,590100,28.641048
2012-10-01,28.90,29.049999,27.440001,28.24,563200,28.113424
2012-09-04,28.110001,31.33,27.540001,28.620001,716200,28.491722
2012-08-01,28.620001,29.120001,26.709999,28.120001,446000,27.956526
2012-07-02,27.299999,28.780001,25.65,28.459999,676600,28.294548
2012-06-01,25.379999,27.969999,24.23,27.16,877700,27.002106
2012-05-01,27.35,27.809999,24.33,26.17,688400,26.01786
2012-04-02,28.950001,29.690001,26.450001,27.27,735000,27.111467
2012-03-01,28.25,29.969999,27.07,28.99,772600,28.821466
2012-02-01,25.389999,28.940001,25.389999,28.17,705400,28.006235
2012-01-03,23.389999,25.52,22.530001,25.35,700100,25.202629
2011-12-01,22.809999,23.98,20.049999,22.690001,893300,22.558092
2011-11-01,21.42,24.09,20.33,22.92,861200,22.786755
2011-10-03,19.48,23.92,18.129999,22.50,1122600,22.369196
2011-09-01,20.00,21.17,17.629999,19.75,1322600,19.635183
2011-08-01,25.09,25.18,17.469999,20.08,1190000,19.922146
2011-07-01,26.780001,27.65,24.17,24.709999,680400,24.515747
2011-06-01,25.129999,27.00,22.48,26.83,1053700,26.619081
2011-05-02,27.879999,28.030001,23.940001,25.139999,779900,24.942368
2011-04-01,29.18,29.290001,26.459999,27.76,564600,27.541771
2011-03-01,28.50,29.290001,25.290001,29.00,758600,28.772024
2011-02-01,27.91,30.41,27.120001,28.299999,644900,28.077526
2011-01-03,26.73,28.32,25.52,27.73,834200,27.512007
